Rk,Player,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals Against,Goals Against p90,Shots On Target Against,Saves,Save %,Wins,Draws,Losses,Clean Sheets,Clean Sheet %,PK Against,PK Goals Against,PK Saved,PK Missed,PK Save %,Goals Against,PK Goals Against,Free Kick Goals Against,Corner Kick Goals Against,Own Goals,PSxG Faced,PSxG Per SoT,PSxG Saved,PSxG Saved Per 90,Launched Passes Completed,Launched Passes Attempted,Launched Pass Completion %,Passes Attempted,Throws Attempted,Pass Launch %,Avg Pass Length,Goals Kicks Attempted,GK Launch %,Avg GK Length,Crosses Faced,Crosses Stopped,Cross Stopping %,Def outside Pen Area,Def Outside Pen Area p90,Avg Def Act Distance,Poss
22,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,30,1991,38.0,1.0,90.0,38.0,1.5,1.5,4.473684210526316,3.026315789473684,68.8,0.34210526315789475,0.23684210526315788,0.42105263157894735,0.18421052631578946,18.4,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,1.5,0.10526315789473684,0.0,0.21052631578947367,0.05263157894736842,1.3421052631578947,0.00736842105263158,-0.10526315789473684,-0.1,7.631578947368421,16.42105263157895,46.5,23.07894736842105,5.394736842105263,43.1,37.4,8.631578947368421,75.0,53.1,14.236842105263158,0.42105263157894735,3.0,0.8947368421052632,0.89,14.1,0.7041183958386995
23,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,30,1991,31.0,1.0,90.0,31.0,0.7741935483870968,0.77,3.225806451612903,2.4193548387096775,78.0,0.45161290322580644,0.41935483870967744,0.12903225806451613,0.41935483870967744,41.9,0.12903225806451613,0.06451612903225806,0.03225806451612903,0.03225806451612903,33.3,0.7741935483870968,0.06451612903225806,0.06451612903225806,0.1935483870967742,0.0,0.8580645161290323,0.007741935483870968,0.08387096774193549,0.09,4.903225806451613,12.193548387096774,40.2,26.741935483870968,3.7419354838709675,30.2,33.1,7.774193548387097,53.1,41.2,13.548387096774194,0.8709677419354839,6.4,0.7741935483870968,0.77,12.8,1.4381993148327679
24,Claudio Bravo,cl CHI,GK,Betis,es La Liga,38,1983,17.0,1.0493827160493827,89.87654320987654,16.2,1.1728395061728396,1.17,3.4567901234567904,2.4074074074074074,67.9,0.4938271604938272,0.2469135802469136,0.308641975308642,0.308641975308642,29.4,0.0617283950617284,0.0617283950617284,0.0,0.0,0.0,1.1728395061728396,0.0617283950617284,0.0,0.0617283950617284,0.1234567901234568,1.1481481481481484,0.019135802469135803,0.09876543209876544,0.1,6.728395061728396,16.790123456790123,40.1,25.0,3.2716049382716053,51.9,39.9,6.111111111111112,62.6,47.9,15.493827160493828,0.3703703703703704,2.4,0.5555555555555556,0.56,11.0,1.1829179568655603
25,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,26,1995,4.0,1.0,90.0,4.0,1.75,1.75,6.0,4.25,70.8,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.75,0.0,1.675,0.07,-0.075,-0.07,2.5,5.5,45.5,23.0,5.5,20.7,26.8,9.25,8.1,19.6,16.75,0.5,3.0,1.0,1.0,17.8,1.0349857153327797
26,Sascha Burchert,de GER,GK,Greuther Furth,de Bundesliga,31,1989,14.0,1.0,90.0,14.0,2.0,2.0,5.142857142857143,3.2857142857142856,65.3,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.21428571428571427,21.4,0.21428571428571427,0.21428571428571427,0.0,0.0,0.0,2.0,0.21428571428571427,0.07142857142857142,0.2857142857142857,0.14285714285714285,1.6428571428571428,0.02,-0.21428571428571427,-0.22,8.571428571428571,23.285714285714285,36.8,31.5,3.5,52.2,41.1,8.214285714285714,83.5,55.9,16.0,0.5714285714285714,3.6,1.7142857142857142,1.71,17.2,0.6904930787873617
27,Roman Burki,ch SUI,GK,Dortmund,de Bundesliga,30,1990,1.0,1.0,90.0,1.0,1.0,1.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.01,0.0,7.0,0.0,20.0,3.0,30.0,28.1,3.0,33.3,34.3,5.0,0.0,0.0,5.0,5.0,27.3,1.4300842114019796
28,Jack Butland,eng ENG,GK,Crystal Palace,eng Premier League,28,1993,9.0,0.9411764705882353,90.0,8.5,1.5294117647058822,1.53,3.2941176470588234,1.8823529411764706,53.6,0.23529411764705882,0.47058823529411764,0.23529411764705882,0.11764705882352941,12.5,0.11764705882352941,0.0,0.11764705882352941,0.0,100.0,1.5294117647058822,0.0,0.11764705882352941,0.11764705882352941,0.23529411764705882,1.1411764705882352,0.036470588235294116,-0.15294117647058825,-0.16,2.9411764705882355,10.941176470588236,26.9,26.0,4.705882352941177,28.5,29.8,7.764705882352941,45.5,36.3,16.352941176470587,1.2941176470588236,7.9,0.8235294117647058,0.82,11.2,1.0549446086891876
29,Marcin Bulka,pl POL,GK,Nice,fr Ligue 1,21,1999,1.0,1.0,90.0,1.0,1.0,1.0,5.0,4.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.7,0.35,0.7,0.73,1.0,3.0,33.3,17.0,6.0,11.8,19.2,7.0,14.3,24.9,14.0,1.0,7.1,1.0,1.0,22.5,1.0748596906874992
30,Willy Caballero,ar ARG,GK,Southampton,eng Premier League,39,1981,2.0,1.0,90.0,2.0,2.5,2.5,5.5,3.0,54.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.5,0.0,1.65,0.155,-0.85,-0.85,8.5,18.0,47.2,23.5,0.0,51.1,38.4,6.5,92.3,56.5,16.5,0.5,3.0,2.0,2.0,14.0,0.885504290802889
31,Marc-Aurele Caillard,fr FRA,GK,Metz,fr Ligue 1,27,1994,19.0,0.9941520467836257,90.17543859649122,17.1,1.7543859649122806,1.75,5.087719298245614,3.333333333333333,67.8,0.23391812865497075,0.29239766081871343,0.4678362573099415,0.29239766081871343,29.4,0.11695906432748537,0.11695906432748537,0.0,0.0,0.0,1.7543859649122806,0.11695906432748537,0.0,0.4093567251461988,0.0,1.608187134502924,0.017543859649122806,-0.14619883040935672,-0.15,6.023391812865497,16.14035087719298,37.3,16.72514619883041,5.087719298245614,44.8,38.9,9.82456140350877,88.1,58.5,15.380116959064326,0.5847953216374269,3.8,0.7602339181286549,0.76,12.8,0.6591976803822628
